City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Mangai,CD,2021-07-28 14:31:53,-4.05,19.5333,96.85,12,79,2.04
142,Havelock,US,2021-07-28 14:31:53,34.8791,-76.9013,84.16,91,75,3.0
143,Sao Filipe,CV,2021-07-28 14:31:54,14.8961,-24.4956,76.21,74,49,12.08
144,Micheweni,TZ,2021-07-28 14:31:54,-4.9667,39.8333,76.35,75,9,14.74
145,Quesnel,CA,2021-07-28 14:31:54,52.9999,-122.5029,50.5,87,1,2.3
146,Kaduna,NG,2021-07-28 14:29:18,10.5222,7.4383,78.42,71,100,7.76
147,Okakarara,NA,2021-07-28 14:31:55,-20.5833,17.4333,72.34,15,0,7.14
148,Bodden Town,KY,2021-07-28 14:31:55,19.2833,-81.25,87.01,79,20,3.0
149,Dukat,RU,2021-07-28 14:31:55,62.55,155.55,39.58,90,100,4.07
150,Lorengau,PG,2021-07-28 14:31:56,-2.0226,147.2712,82.02,79,24,7.56
151,Chernushka,RU,2021-07-28 14:31:56,56.5072,56.0766,59.76,56,85,7.92
152,Broome,US,2021-07-28 14:31:56,42.2506,-75.833,70.02,86,90,3.0
153,Tagab,AF,2021-07-28 14:31:57,34.855,69.6492,93.11,42,0,1.9
154,Ilulissat,GL,2021-07-28 14:31:57,69.2167,-51.1,57.22,44,40,6.91
155,Kampot,KH,2021-07-28 14:31:57,10.6167,104.1833,84.25,82,99,10.25
156,Kushima,JP,2021-07-28 14:31:58,31.4583,131.2333,74.97,89,0,1.39
157,Salamiyah,SY,2021-07-28 14:31:58,35.0113,37.0532,96.4,14,0,19.93
158,Fortuna,US,2021-07-28 14:31:58,40.5982,-124.1573,56.32,92,75,3.44
159,Sikasso,ML,2021-07-28 14:31:59,10.9167,-7.0,78.96,78,100,9.6
160,Newport,GB,2021-07-28 14:31:59,51.5877,-2.9984,69.19,67,7,23.6
161,Sembakung,ID,2021-07-28 14:31:59,3.8167,117.25,75.67,98,62,1.3
162,Puerto Carreno,CO,2021-07-28 14:29:11,6.189,-67.4859,80.06,77,96,5.82
163,Kahului,US,2021-07-28 14:32:00,20.8947,-156.47,77.85,85,1,4.61
164,Imbituba,BR,2021-07-28 14:32:00,-28.24,-48.6703,53.49,37,0,4.43
165,Katsuura,JP,2021-07-28 14:32:00,35.1333,140.3,83.1,88,13,20.83
166,Upernavik,GL,2021-07-28 14:32:01,72.7868,-56.1549,44.28,85,100,13.94
167,Namatanai,PG,2021-07-28 14:32:01,-3.6667,152.4333,79.07,81,85,3.36
168,Qaanaaq,GL,2021-07-28 14:32:01,77.484,-69.3632,45.48,94,100,9.6
169,Sergeyevka,KZ,2021-07-28 14:32:02,53.88,67.4158,61.0,58,66,12.33
170,Izumo,JP,2021-07-28 14:32:02,35.3667,132.7667,76.95,91,3,1.43
171,La Ronge,CA,2021-07-28 14:32:03,55.1001,-105.2842,61.05,67,1,4.61
172,Lachi,PK,2021-07-28 14:32:03,33.3833,71.3386,84.74,71,100,17.81
173,Faanui,PF,2021-07-28 14:32:03,-16.4833,-151.75,77.59,70,63,1.95
174,Olafsvik,IS,2021-07-28 14:32:03,64.8945,-23.7142,54.03,83,90,14.61
175,Severo-Kurilsk,RU,2021-07-28 14:32:04,50.6789,156.125,57.2,93,100,7.25
176,Butaritari,KI,2021-07-28 14:32:05,3.0707,172.7902,81.9,73,99,7.65
177,Hegang,CN,2021-07-28 14:32:05,47.4,130.3667,73.47,80,84,4.85
178,Pizhma,RU,2021-07-28 14:32:06,57.8642,47.1171,69.66,49,10,3.51
179,Kruisfontein,ZA,2021-07-28 14:32:06,-34.0033,24.7314,56.88,72,100,11.39
180,East London,ZA,2021-07-28 14:32:06,-33.0153,27.9116,63.54,82,75,4.61
181,Codrington,AU,2021-07-28 14:32:06,-38.2667,141.9667,44.44,85,38,12.8
182,Longyearbyen,SJ,2021-07-28 14:32:07,78.2186,15.6401,44.44,87,90,12.66
183,Port Lincoln,AU,2021-07-28 14:32:07,-34.7333,135.8667,50.47,71,12,8.79
184,Belle Fourche,US,2021-07-28 14:32:07,44.6714,-103.8522,88.5,31,66,5.21
185,Mount Gambier,AU,2021-07-28 14:30:51,-37.8333,140.7667,46.31,76,90,9.22
186,Goderich,CA,2021-07-28 14:32:08,43.7501,-81.7165,75.9,68,0,2.3
187,Bluefield,US,2021-07-28 14:32:08,37.2698,-81.2223,81.63,65,1,4.0
188,Laguna,US,2021-07-28 14:32:08,38.421,-121.4238,80.42,69,1,0.0
189,Pidhorodna,UA,2021-07-28 14:32:09,48.107,30.8895,89.47,39,67,10.8
190,Champerico,GT,2021-07-28 14:32:09,14.3,-91.9167,86.76,78,70,3.18
191,Quang Ngai,VN,2021-07-28 14:32:09,15.1167,108.8,82.26,77,100,4.97
192,Mahon,ES,2021-07-28 14:32:10,39.8885,4.2658,82.96,47,0,16.11
193,Cayenne,GF,2021-07-28 14:32:10,4.9333,-52.3333,81.09,85,75,4.61
194,Perth,AU,2021-07-28 14:27:43,-31.9333,115.8333,58.08,93,40,14.97
195,Ixtapa,MX,2021-07-28 14:32:10,20.7,-105.2,81.23,88,75,5.75
196,Pitsunda,GE,2021-07-28 14:32:11,43.1592,40.3378,80.78,80,25,5.44
197,Saldanha,ZA,2021-07-28 14:32:11,-33.0117,17.9442,59.05,58,16,8.77
198,Port Elizabeth,ZA,2021-07-28 14:32:11,-33.918,25.5701,59.29,77,75,11.5
199,Yulara,AU,2021-07-28 14:32:12,-25.2406,130.9889,58.84,51,40,8.05
200,Cabinda,AO,2021-07-28 14:32:12,-5.55,12.2,77.58,71,19,11.95
201,Pevek,RU,2021-07-28 14:32:12,69.7008,170.3133,33.73,96,100,21.52
202,Marovoay,MG,2021-07-28 14:32:12,-16.1,46.6333,86.14,32,4,1.39
203,Murdochville,CA,2021-07-28 14:32:13,48.9583,-65.5006,52.68,69,95,11.41
204,Homer,US,2021-07-28 14:32:13,59.6425,-151.5483,55.29,80,1,9.22
205,Moerai,PF,2021-07-28 14:32:13,-22.4333,-151.3333,71.92,75,6,10.2
206,Pachino,IT,2021-07-28 14:32:14,36.7186,15.0907,100.6,49,0,15.17
207,Coihaique,CL,2021-07-28 14:32:14,-45.5752,-72.0662,41.61,81,40,9.22
208,Lavrentiya,RU,2021-07-28 14:32:14,65.5833,-171.0,43.57,99,100,9.55
209,Santa,PH,2021-07-28 14:32:15,17.486,120.4348,78.75,90,100,8.39
210,Ypsonas,CY,2021-07-28 14:32:15,34.6884,32.9574,94.5,33,0,13.8
211,Qui Nhon,VN,2021-07-28 14:32:15,13.7667,109.2333,85.82,67,98,15.7
212,Eureka,US,2021-07-28 14:32:15,40.8021,-124.1637,56.59,94,57,3.22
213,Kanniyakumari,IN,2021-07-28 14:32:16,8.0833,77.5667,81.01,79,100,21.34
214,Riyadh,SA,2021-07-28 14:31:36,24.6877,46.7219,113.14,8,79,18.48
215,Tuatapere,NZ,2021-07-28 14:32:16,-46.1333,167.6833,45.82,91,43,5.21
216,Dhidhdhoo,MV,2021-07-28 14:32:17,6.8833,73.1,82.94,76,99,14.43
217,Clyde River,CA,2021-07-28 14:32:17,70.4692,-68.5914,50.23,81,75,4.61
218,Iqaluit,CA,2021-07-28 14:32:17,63.7506,-68.5145,49.73,61,20,5.01
219,Bagn,NO,2021-07-28 14:32:17,60.8225,9.5521,65.08,90,99,3.74
220,Yerbogachen,RU,2021-07-28 14:32:18,61.2767,108.0108,74.71,55,0,10.0
221,Mitsamiouli,KM,2021-07-28 14:32:18,-11.3847,43.2844,75.81,74,57,14.03
222,Cardston,CA,2021-07-28 14:32:18,49.2,-113.3019,63.21,88,100,2.3
223,Zamostea,RO,2021-07-28 14:32:19,47.8667,26.2,83.71,45,71,3.89
224,Luau,AO,2021-07-28 14:32:19,-10.7073,22.2247,82.76,14,3,1.01
225,Coolum Beach,AU,2021-07-28 14:32:19,-26.5333,153.1,61.07,89,8,10.18
226,Ancud,CL,2021-07-28 14:32:20,-41.8697,-73.8203,42.33,81,19,5.35
227,Avarua,CK,2021-07-28 14:32:20,-21.2078,-159.775,69.85,88,90,2.3
228,Ampanihy,MG,2021-07-28 14:32:20,-24.7,44.75,68.74,68,51,12.55
229,Bonavista,CA,2021-07-28 14:32:21,48.6499,-53.1147,71.6,88,100,14.56
230,Honolulu,US,2021-07-28 14:30:50,21.3069,-157.8583,80.42,74,75,1.99
231,Deputatskiy,RU,2021-07-28 14:32:21,69.3,139.9,35.01,83,14,3.65
232,Muros,ES,2021-07-28 14:32:22,42.7762,-9.0603,77.68,51,0,16.98
233,Svetlyy,RU,2021-07-28 14:32:22,54.675,20.1347,78.85,49,67,3.42
234,Provideniya,RU,2021-07-28 14:32:22,64.3833,-173.3,46.53,99,100,7.61
235,Lapa,BR,2021-07-28 14:32:23,-25.7697,-49.7158,43.41,39,0,9.42
236,Sampit,ID,2021-07-28 14:32:23,-2.5333,112.95,73.9,96,22,2.35
237,Bereda,ES,2021-07-28 14:32:23,43.2686,-7.5406,74.41,59,3,7.2
238,Bima,ID,2021-07-28 14:32:23,-8.4667,118.7167,72.91,90,16,4.34
239,Araouane,ML,2021-07-28 14:32:24,18.9048,-3.5265,105.69,21,52,8.7
240,Chupa,RU,2021-07-28 14:32:24,66.27,33.0549,68.77,58,13,6.73
241,San Luis De Gaceno,CO,2021-07-28 14:32:24,4.8205,-73.1685,76.41,86,88,3.62
242,Somerville,US,2021-07-28 14:27:27,42.3876,-71.0995,68.4,86,90,1.01
243,Thompson,CA,2021-07-28 14:32:25,55.7435,-97.8558,60.96,72,20,13.8
244,Port-Gentil,GA,2021-07-28 14:32:25,-0.7193,8.7815,82.36,69,40,14.97
245,Aklavik,CA,2021-07-28 14:32:26,68.2191,-135.0107,57.2,88,90,3.44
246,Denia,ES,2021-07-28 14:32:26,38.8408,0.1057,87.57,72,0,7.0
247,Phan Thiet,VN,2021-07-28 14:32:26,10.9333,108.1,79.2,86,64,9.55
248,Luchegorsk,RU,2021-07-28 14:32:26,46.4764,134.2569,78.26,69,100,1.9
249,Salalah,OM,2021-07-28 14:32:27,17.0151,54.0924,80.69,89,75,8.05
250,Cadiz,ES,2021-07-28 14:32:27,36.5,-5.75,96.22,25,0,12.06
251,Belyy Yar,RU,2021-07-28 14:32:28,53.6039,91.3903,60.69,77,0,0.0
252,Saint-Pierre,RE,2021-07-28 14:32:28,-21.3393,55.4781,69.48,75,100,19.57
253,Abatskoye,RU,2021-07-28 14:32:28,56.2875,70.4555,57.47,67,81,7.43
254,Yumen,CN,2021-07-28 14:32:28,40.2833,97.2,84.47,13,0,9.22
255,Skjervoy,NO,2021-07-28 14:32:29,70.0311,20.9714,50.18,84,49,12.55
256,Bani Walid,LY,2021-07-28 14:32:29,31.7566,13.9942,95.94,17,0,12.82
257,Pouembout,NC,2021-07-28 14:32:29,-21.1333,164.9,66.61,71,41,5.75
258,Mar Del Plata,AR,2021-07-28 14:29:11,-38.0023,-57.5575,46.09,67,75,7.0
259,Baijiantan,CN,2021-07-28 14:32:30,45.6333,85.1833,89.13,12,18,17.4
