City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Bacungan,PH,9.9106,118.7022,81.52,79,100,4.63,overcast clouds
292,Khani,GE,41.9563,42.9566,62.17,94,62,2.62,broken clouds
293,Pankrushikha,RU,53.8319,80.3406,52.81,66,4,7.38,clear sky
294,Nedjo,ET,9.5046,35.5019,56.48,98,100,1.63,overcast clouds
295,Cairns,AU,-16.9167,145.7667,67.08,82,40,0.0,scattered clouds
296,Trapani,IT,37.8333,12.6667,84.88,53,0,3.44,clear sky
297,Gunjur,GM,13.2019,-16.7339,80.67,83,40,12.66,scattered clouds
298,Salalah,OM,17.0151,54.0924,78.89,94,90,9.22,overcast clouds
299,Jinji,CN,23.2281,110.8261,79.59,90,27,1.66,scattered clouds
300,Arraial Do Cabo,BR,-22.9661,-42.0278,64.2,87,100,18.88,overcast clouds
301,Bethel,US,41.3712,-73.414,80.04,64,0,3.6,clear sky
302,Esso,RU,55.9333,158.7,67.12,64,50,3.13,scattered clouds
303,Ixtapa,MX,20.7,-105.2,88.83,66,20,10.36,few clouds
304,Nanga Eboko,CM,4.6833,12.3667,67.57,97,89,2.68,light rain
305,Simbahan,PH,6.3032,120.5836,83.79,79,50,13.89,scattered clouds
306,Airai,TL,-8.9266,125.4092,60.96,59,14,3.18,few clouds
307,Paragominas,BR,-2.9667,-47.4833,77.52,74,75,5.06,broken clouds
308,Acarau,BR,-2.8856,-40.12,78.66,85,5,14.58,clear sky
309,Zima,RU,53.9202,102.0442,59.4,86,54,10.78,broken clouds
310,Flexeiras,BR,-9.1975,-35.7808,71.37,92,6,2.13,clear sky
311,Rudbar,AF,30.15,62.6,84.65,13,68,14.85,broken clouds
312,Novo Cruzeiro,BR,-17.4681,-41.8753,65.66,47,0,2.55,clear sky
313,Kandrian,PG,-6.2167,149.55,80.26,83,85,3.2,light rain
314,Mogadishu,SO,2.0371,45.3438,75.97,85,85,17.67,light rain
315,Hambantota,LK,6.1241,81.1185,80.38,78,86,17.85,overcast clouds
316,Canico,PT,32.6333,-16.85,72.68,68,40,12.66,scattered clouds
317,Panevezys,LT,55.7333,24.35,67.12,77,54,6.93,broken clouds
318,Xinmin,CN,41.9908,122.8253,79.05,83,100,3.94,overcast clouds
319,Kudahuvadhoo,MV,2.6708,72.8944,81.82,74,96,8.19,overcast clouds
320,Cayenne,GF,4.9333,-52.3333,80.64,83,0,3.0,clear sky
321,Qasigiannguit,GL,68.8193,-51.1922,52.05,79,99,5.17,overcast clouds
322,Mazagao,BR,-0.115,-51.2894,78.85,89,42,6.51,scattered clouds
323,Hami,CN,42.8,93.45,86.61,20,17,8.95,few clouds
324,Sur,OM,22.5667,59.5289,94.93,43,96,18.95,overcast clouds
325,Log,RU,49.4844,43.8613,72.66,43,93,6.35,overcast clouds
326,Mayo,US,38.8876,-76.5119,90.99,60,1,3.0,clear sky
327,Pangnirtung,CA,66.1451,-65.7125,51.8,71,20,12.66,few clouds
328,Cowra,AU,-33.8333,148.6833,45.27,85,1,5.86,clear sky
329,Inirida,CO,3.8653,-67.9239,74.8,91,80,0.83,broken clouds
330,Xuddur,SO,4.1213,43.8894,70.48,77,99,16.6,overcast clouds
331,Maragogi,BR,-9.0122,-35.2225,73.83,84,0,6.51,clear sky
332,Along,IN,28.1667,94.7667,74.52,99,100,0.18,overcast clouds
333,Marsh Harbour,BS,26.5412,-77.0636,84.18,71,12,4.88,few clouds
334,Chapais,CA,49.7834,-74.8492,67.78,47,96,6.06,overcast clouds
335,Nuevo Progreso,MX,23.1667,-97.95,85.46,67,87,3.0,light rain
336,Isangel,VU,-19.55,169.2667,73.51,68,20,5.75,few clouds
337,Hazorasp,UZ,41.3194,61.0742,69.64,45,33,11.65,scattered clouds
338,Port Hedland,AU,-20.3167,118.5667,60.85,82,3,9.22,clear sky
339,Gaillac,FR,43.9016,1.8969,69.94,83,4,1.99,clear sky
340,Hamilton,US,39.1834,-84.5333,90.88,60,75,3.0,broken clouds
341,Manjeshwar,IN,12.7194,74.8861,79.75,88,100,8.41,overcast clouds
342,Kloulklubed,PW,7.0419,134.2556,79.3,75,78,5.19,broken clouds
343,Tongren,CN,27.7172,109.1853,76.42,93,13,2.21,few clouds
344,Tabou,CI,4.423,-7.3528,75.83,83,86,6.53,overcast clouds
345,Evensk,RU,61.95,159.2333,56.52,50,14,5.73,few clouds
346,Cedar City,US,37.6775,-113.0619,87.19,28,75,19.57,broken clouds
347,Fort Nelson,CA,58.8053,-122.7002,76.59,31,40,5.75,scattered clouds
348,Oktyabrskoye,RU,43.0645,44.7417,57.34,100,71,4.47,broken clouds
